ts,domain_key,domain_name,env,metric_group,metric_name,value,unit,health_status
2025-10-25 00:00:00+00:00,marketing_automation,Marketing Automation,prod,health,quality_score,78.36566049570531,score,green
2025-10-25 00:00:00+00:00,marketing_automation,Marketing Automation,prod,health,tech_alignment_score,70.53230808717822,score,green
2025-10-25 00:00:00+00:00,marketing_automation,Marketing Automation,prod,health,tech_debt_score,62.91420121919478,score,green
2025-10-25 00:00:00+00:00,marketing_automation,Marketing Automation,prod,health,security_score,84.78353258993715,score,green
2025-10-25 00:00:00+00:00,marketing_automation,Marketing Automation,prod,health,overall_health_score,75.31316618225574,score,green
2025-10-25 00:00:00+00:00,marketing_automation,Marketing Automation,prod,impact,journey_adoption_pct,39.69495493509528,percent,green
2025-10-25 00:00:00+00:00,marketing_automation,Marketing Automation,prod,impact,real_time_trigger_usage_pct,14.803293704694983,percent,green
2025-10-25 00:00:00+00:00,marketing_automation,Marketing Automation,prod,impact,median_time_to_live_minutes,199.76238218519077,minutes,green
2025-10-25 00:00:00+00:00,marketing_automation,Marketing Automation,prod,impact,campaign_execution_success_rate,93.79359867036531,percent,green
2025-10-25 00:00:00+00:00,marketing_automation,Marketing Automation,prod,impact,compliance_by_default_rate,95.9182349432181,percent,green
2025-10-25 00:00:00+00:00,marketing_automation,Marketing Automation,prod,impact,manual_intervention_rate,11.017126604301088,percent,green
2025-10-26 00:00:00+00:00,marketing_automation,Marketing Automation,prod,health,quality_score,77.05026383787965,score,amber
2025-10-26 00:00:00+00:00,marketing_automation,Marketing Automation,prod,health,tech_alignment_score,70.54340734002012,score,amber
2025-10-26 00:00:00+00:00,marketing_automation,Marketing Automation,prod,health,tech_debt_score,63.18012852071128,score,amber
2025-10-26 00:00:00+00:00,marketing_automation,Marketing Automation,prod,health,security_score,84.87848086843914,score,amber
2025-10-26 00:00:00+00:00,marketing_automation,Marketing Automation,prod,health,overall_health_score,74.93191973251395,score,amber
2025-10-26 00:00:00+00:00,marketing_automation,Marketing Automation,prod,impact,journey_adoption_pct,41.04768660511148,percent,amber
2025-10-26 00:00:00+00:00,marketing_automation,Marketing Automation,prod,impact,real_time_trigger_usage_pct,15.747882942193037,percent,amber
2025-10-26 00:00:00+00:00,marketing_automation,Marketing Automation,prod,impact,median_time_to_live_minutes,209.29872954969997,minutes,amber
2025-10-26 00:00:00+00:00,marketing_automation,Marketing Automation,prod,impact,campaign_execution_success_rate,94.34700193776754,percent,amber
2025-10-26 00:00:00+00:00,marketing_automation,Marketing Automation,prod,impact,compliance_by_default_rate,96.42690371662755,percent,amber
2025-10-26 00:00:00+00:00,marketing_automation,Marketing Automation,prod,impact,manual_intervention_rate,11.082908164875727,percent,amber
2025-10-27 00:00:00+00:00,marketing_automation,Marketing Automation,prod,health,quality_score,77.8833895425103,score,green
2025-10-27 00:00:00+00:00,marketing_automation,Marketing Automation,prod,health,tech_alignment_score,70.29465633083424,score,green
2025-10-27 00:00:00+00:00,marketing_automation,Marketing Automation,prod,health,tech_debt_score,63.004839009689455,score,green
2025-10-27 00:00:00+00:00,marketing_automation,Marketing Automation,prod,health,security_score,84.8492948889151,score,green
2025-10-27 00:00:00+00:00,marketing_automation,Marketing Automation,prod,health,overall_health_score,75.13140913021212,score,green
2025-10-27 00:00:00+00:00,marketing_automation,Marketing Automation,prod,impact,journey_adoption_pct,42.56144624662957,percent,green
2025-10-27 00:00:00+00:00,marketing_automation,Marketing Automation,prod,impact,real_time_trigger_usage_pct,18.37595704243664,percent,green
